Author,Delay,Previous Characters,Characters,Ratio,Mean,STDEV,Ratio2,Mean2,STDEV2,Range,Range2,Conversation,Violation
56k,15,7,61,4.06666666666667,2.54905375937411,1.14878675231151,4.53333333333333,4.82982496966934,3.07693095150193,4,2,2,0
56k,34,63,40,1.17647058823529,2.54905375937411,1.14878675231151,3.02941176470588,4.82982496966934,3.07693095150193,1,2,2,0
56k,17,28,68,4,2.54905375937411,1.14878675231151,5.64705882352941,4.82982496966934,3.07693095150193,4,3,2,0
56k,24,27,39,1.625,2.54905375937411,1.14878675231151,2.75,4.82982496966934,3.07693095150193,2,2,2,0
56k,17,19,52,3.05882352941176,2.54905375937411,1.14878675231151,4.17647058823529,4.82982496966934,3.07693095150193,3,2,2,0
56k,12,162,33,2.75,2.54905375937411,1.14878675231151,16.25,4.82982496966934,3.07693095150193,3,4,2,0
56k,49,68,128,2.61224489795918,2.54905375937411,1.14878675231151,4,4.82982496966934,3.07693095150193,3,2,2,0
56k,18,3,69,3.83333333333333,2.54905375937411,1.14878675231151,4,4.82982496966934,3.07693095150193,4,2,2,0
56k,7,45,23,3.28571428571429,2.54905375937411,1.14878675231151,9.71428571428571,4.82982496966934,3.07693095150193,3,4,2,0
56k,25,7,70,2.8,2.54905375937411,1.14878675231151,3.08,4.82982496966934,3.07693095150193,3,2,2,0
56k,54,20,64,1.18518518518519,2.54905375937411,1.14878675231151,1.55555555555556,4.82982496966934,3.07693095150193,1,1,2,0
56k,29,73,7,0.241379310344828,2.54905375937411,1.14878675231151,2.75862068965517,4.82982496966934,3.07693095150193,1,2,2,0
aaaa,6,7,3,0.5,0.738347975709892,0.475734959552463,1.66666666666667,2.10342427564027,1.0900310422867,2,2,1,0
aaaa,7,19,9,1.28571428571429,0.738347975709892,0.475734959552463,4,2.10342427564027,1.0900310422867,4,4,1,0
aaaa,19,10,8,0.421052631578947,0.738347975709892,0.475734959552463,0.947368421052632,2.10342427564027,1.0900310422867,2,1,1,0
aaaa,6,6,8,1.33333333333333,0.738347975709892,0.475734959552463,2.33333333333333,2.10342427564027,1.0900310422867,4,3,1,0
aaaa,11,30,5,0.454545454545455,0.738347975709892,0.475734959552463,3.18181818181818,2.10342427564027,1.0900310422867,2,3,1,0
aaaa,8,17,4,0.5,0.738347975709892,0.475734959552463,2.625,2.10342427564027,1.0900310422867,2,3,1,0
aaaa,37,47,23,0.621621621621622,0.738347975709892,0.475734959552463,1.89189189189189,2.10342427564027,1.0900310422867,2,2,1,0
aaaa,23,11,19,0.826086956521739,0.738347975709892,0.475734959552463,1.30434782608696,2.10342427564027,1.0900310422867,3,2,1,0
aaaa,20,40,23,1.15,0.738347975709892,0.475734959552463,3.15,2.10342427564027,1.0900310422867,3,3,1,0
aaaa,20,20,17,0.85,0.738347975709892,0.475734959552463,1.85,2.10342427564027,1.0900310422867,3,2,1,0
aaaa,42,40,29,0.69047619047619,0.738347975709892,0.475734959552463,1.64285714285714,2.10342427564027,1.0900310422867,2,2,1,0
aaaa,23,94,9,0.391304347826087,0.738347975709892,0.475734959552463,4.47826086956522,2.10342427564027,1.0900310422867,2,4,1,0
aaaa,14,20,10,0.714285714285714,0.738347975709892,0.475734959552463,2.14285714285714,2.10342427564027,1.0900310422867,2,3,1,0
aaaa,22,80,20,0.909090909090909,0.738347975709892,0.475734959552463,4.54545454545455,2.10342427564027,1.0900310422867,3,4,1,0
aaaa,42,20,11,0.261904761904762,0.738347975709892,0.475734959552463,0.738095238095238,2.10342427564027,1.0900310422867,1,1,1,0
aaaa,21,53,5,0.238095238095238,0.738347975709892,0.475734959552463,2.76190476190476,2.10342427564027,1.0900310422867,1,3,1,0
aaaa,7,7,3,0.428571428571429,0.738347975709892,0.475734959552463,1.42857142857143,2.10342427564027,1.0900310422867,2,2,2,0
aaaa,11,19,16,1.45454545454545,0.738347975709892,0.475734959552463,3.18181818181818,2.10342427564027,1.0900310422867,4,3,2,0
aaaa,11,31,18,1.63636363636364,0.738347975709892,0.475734959552463,4.45454545454545,2.10342427564027,1.0900310422867,4,4,2,0
aaaa,11,14,8,0.727272727272727,0.738347975709892,0.475734959552463,2,2.10342427564027,1.0900310422867,2,2,2,0
aaaa,12,12,3,0.25,0.738347975709892,0.475734959552463,1.25,2.10342427564027,1.0900310422867,1,2,2,0
aaaa,28,7,65,2.32142857142857,0.738347975709892,0.475734959552463,2.57142857142857,2.10342427564027,1.0900310422867,4,3,2,0
aaaa,21,26,26,1.23809523809524,0.738347975709892,0.475734959552463,2.47619047619048,2.10342427564027,1.0900310422867,4,3,2,0
aaaa,38,24,4,0.105263157894737,0.738347975709892,0.475734959552463,0.736842105263158,2.10342427564027,1.0900310422867,1,1,2,0
aaaa,17,30,16,0.941176470588235,0.738347975709892,0.475734959552463,2.70588235294118,2.10342427564027,1.0900310422867,3,3,2,3
aaaa,24,22,13,0.541666666666667,0.738347975709892,0.475734959552463,1.45833333333333,2.10342427564027,1.0900310422867,2,2,2,3
aaaa,28,20,15,0.535714285714286,0.738347975709892,0.475734959552463,1.25,2.10342427564027,1.0900310422867,2,2,2,0
aaaa,44,48,12,0.272727272727273,0.738347975709892,0.475734959552463,1.36363636363636,2.10342427564027,1.0900310422867,2,2,2,3
aaaa,50,26,33,0.66,0.738347975709892,0.475734959552463,1.18,2.10342427564027,1.0900310422867,2,2,2,3
aaaa,73,22,19,0.26027397260274,0.738347975709892,0.475734959552463,0.561643835616438,2.10342427564027,1.0900310422867,1,1,2,3
aaaa,9,6,11,1.22222222222222,0.738347975709892,0.475734959552463,1.88888888888889,2.10342427564027,1.0900310422867,4,2,2,0
aaaa,67,22,43,0.641791044776119,0.738347975709892,0.475734959552463,0.970149253731343,2.10342427564027,1.0900310422867,2,1,2,0
aaaa,27,33,10,0.37037037037037,0.738347975709892,0.475734959552463,1.59259259259259,2.10342427564027,1.0900310422867,2,2,2,0
aaaa,43,36,15,0.348837209302326,0.738347975709892,0.475734959552463,1.18604651162791,2.10342427564027,1.0900310422867,2,2,2,0
AGMacD,5,7,3,0.6,1.12052851719216,0.674913144534761,2,2.66991051526981,1.12499584291003,2,2,1,0
AGMacD,5,19,5,1,1.12052851719216,0.674913144534761,4.8,2.66991051526981,1.12499584291003,2,4,1,0
AGMacD,17,26,22,1.29411764705882,1.12052851719216,0.674913144534761,2.82352941176471,2.66991051526981,1.12499584291003,3,3,1,0
AGMacD,37,29,46,1.24324324324324,1.12052851719216,0.674913144534761,2.02702702702703,2.66991051526981,1.12499584291003,3,2,1,0
AGMacD,55,28,63,1.14545454545455,1.12052851719216,0.674913144534761,1.65454545454545,2.66991051526981,1.12499584291003,3,2,1,0
AGMacD,58,14,72,1.24137931034483,1.12052851719216,0.674913144534761,1.48275862068966,2.66991051526981,1.12499584291003,3,1,1,0
AGMacD,100,50,121,1.21,1.12052851719216,0.674913144534761,1.71,2.66991051526981,1.12499584291003,3,2,1,0
AGMacD,121,65,27,0.223140495867769,1.12052851719216,0.674913144534761,0.760330578512397,2.66991051526981,1.12499584291003,1,1,1,0
AGMacD,79,74,26,0.329113924050633,1.12052851719216,0.674913144534761,1.26582278481013,2.66991051526981,1.12499584291003,1,1,1,0
AGMacD,14,61,14,1,1.12052851719216,0.674913144534761,5.35714285714286,2.66991051526981,1.12499584291003,2,4,1,0
AGMacD,15,33,11,0.733333333333333,1.12052851719216,0.674913144534761,2.93333333333333,2.66991051526981,1.12499584291003,2,3,1,0
AGMacD,44,34,118,2.68181818181818,1.12052851719216,0.674913144534761,3.45454545454545,2.66991051526981,1.12499584291003,4,3,1,0
AGMacD,17,48,2,0.117647058823529,1.12052851719216,0.674913144534761,2.94117647058824,2.66991051526981,1.12499584291003,1,3,1,0
AGMacD,6,7,3,0.5,1.12052851719216,0.674913144534761,1.66666666666667,2.66991051526981,1.12499584291003,2,2,2,0
AGMacD,5,19,5,1,1.12052851719216,0.674913144534761,4.8,2.66991051526981,1.12499584291003,2,4,2,0
AGMacD,43,26,23,0.534883720930233,1.12052851719216,0.674913144534761,1.13953488372093,2.66991051526981,1.12499584291003,2,1,2,0
AGMacD,61,65,83,1.36065573770492,1.12052851719216,0.674913144534761,2.42622950819672,2.66991051526981,1.12499584291003,3,2,2,0
AGMacD,24,44,13,0.541666666666667,1.12052851719216,0.674913144534761,2.375,2.66991051526981,1.12499584291003,2,2,2,2
AGMacD,51,35,133,2.6078431372549,1.12052851719216,0.674913144534761,3.29411764705882,2.66991051526981,1.12499584291003,4,3,2,2
AGMacD,16,55,2,0.125,1.12052851719216,0.674913144534761,3.5625,2.66991051526981,1.12499584291003,1,3,2,2
AGMacD,24,41,39,1.625,1.12052851719216,0.674913144534761,3.33333333333333,2.66991051526981,1.12499584291003,3,3,2,2
AGMacD,50,71,57,1.14,1.12052851719216,0.674913144534761,2.56,2.66991051526981,1.12499584291003,3,2,2,0
AGMacD,25,25,29,1.16,1.12052851719216,0.674913144534761,2.16,2.66991051526981,1.12499584291003,3,2,2,2
AGMacD,45,35,86,1.91111111111111,1.12052851719216,0.674913144534761,2.68888888888889,2.66991051526981,1.12499584291003,4,3,2,2
AGMacD,30,45,58,1.93333333333333,1.12052851719216,0.674913144534761,3.43333333333333,2.66991051526981,1.12499584291003,4,3,2,2
AGMacD,56,50,105,1.875,1.12052851719216,0.674913144534761,2.76785714285714,2.66991051526981,1.12499584291003,4,3,2,2
AlexGclaw,6,7,6,1,1.58250374342536,0.901776729949914,2.16666666666667,3.61430824580578,1.51511468638029,2,2,1,0
AlexGclaw,6,19,17,2.83333333333333,1.58250374342536,0.901776729949914,6,3.61430824580578,1.51511468638029,4,4,1,0
AlexGclaw,18,52,32,1.77777777777778,1.58250374342536,0.901776729949914,4.66666666666667,3.61430824580578,1.51511468638029,3,3,1,3
AlexGclaw,20,17,31,1.55,1.58250374342536,0.901776729949914,2.4,3.61430824580578,1.51511468638029,2,2,1,0
AlexGclaw,28,32,40,1.42857142857143,1.58250374342536,0.901776729949914,2.57142857142857,3.61430824580578,1.51511468638029,2,2,1,3
AlexGclaw,17,45,16,0.941176470588235,1.58250374342536,0.901776729949914,3.58823529411765,3.61430824580578,1.51511468638029,2,2,1,0
AlexGclaw,23,82,68,2.95652173913043,1.58250374342536,0.901776729949914,6.52173913043478,3.61430824580578,1.51511468638029,4,4,1,3
AlexGclaw,78,92,200,2.56410256410256,1.58250374342536,0.901776729949914,3.74358974358974,3.61430824580578,1.51511468638029,4,3,1,0
AlexGclaw,61,95,34,0.557377049180328,1.58250374342536,0.901776729949914,2.11475409836066,3.61430824580578,1.51511468638029,1,2,1,3
AlexGclaw,36,81,71,1.97222222222222,1.58250374342536,0.901776729949914,4.22222222222222,3.61430824580578,1.51511468638029,3,3,1,3
AlexGclaw,43,34,114,2.65116279069767,1.58250374342536,0.901776729949914,3.44186046511628,3.61430824580578,1.51511468638029,4,2,1,0
AlexGclaw,29,60,35,1.20689655172414,1.58250374342536,0.901776729949914,3.27586206896552,3.61430824580578,1.51511468638029,2,2,1,3
AlexGclaw,70,47,107,1.52857142857143,1.58250374342536,0.901776729949914,2.2,3.61430824580578,1.51511468638029,2,2,1,3
AlexGclaw,23,7,13,0.565217391304348,1.58250374342536,0.901776729949914,0.869565217391304,3.61430824580578,1.51511468638029,1,1,2,0
AlexGclaw,6,19,24,4,1.58250374342536,0.901776729949914,7.16666666666667,3.61430824580578,1.51511468638029,4,4,2,0
AlexGclaw,16,52,40,2.5,1.58250374342536,0.901776729949914,5.75,3.61430824580578,1.51511468638029,4,4,2,0
AlexGclaw,36,95,37,1.02777777777778,1.58250374342536,0.901776729949914,3.66666666666667,3.61430824580578,1.51511468638029,2,3,2,0
AlexGclaw,56,84,104,1.85714285714286,1.58250374342536,0.901776729949914,3.35714285714286,3.61430824580578,1.51511468638029,3,2,2,0
AlexGclaw,75,164,89,1.18666666666667,1.58250374342536,0.901776729949914,3.37333333333333,3.61430824580578,1.51511468638029,2,2,2,0
AlexGclaw,54,138,73,1.35185185185185,1.58250374342536,0.901776729949914,3.90740740740741,3.61430824580578,1.51511468638029,2,3,2,0
AlexGclaw,33,74,9,0.272727272727273,1.58250374342536,0.901776729949914,2.51515151515152,3.61430824580578,1.51511468638029,1,2,2,0
AlexGclaw,84,91,75,0.892857142857143,1.58250374342536,0.901776729949914,1.97619047619048,3.61430824580578,1.51511468638029,2,1,2,0
AlexGclaw,73,133,93,1.27397260273973,1.58250374342536,0.901776729949914,3.0958904109589,3.61430824580578,1.51511468638029,2,2,2,0
AlexGclaw,10,37,15,1.5,1.58250374342536,0.901776729949914,5.2,3.61430824580578,1.51511468638029,2,4,2,0
AlexGclaw,30,72,5,0.166666666666667,1.58250374342536,0.901776729949914,2.56666666666667,3.61430824580578,1.51511468638029,1,2,2,0
Allen Bloodclaw,8,7,13,1.625,1.79034899418967,0.741775236682372,2.5,2.88471367665756,1.30564785952805,2,2,1,0
Allen Bloodclaw,23,19,56,2.43478260869565,1.79034899418967,0.741775236682372,3.26086956521739,2.88471367665756,1.30564785952805,3,3,1,0
Allen Bloodclaw,18,12,20,1.11111111111111,1.79034899418967,0.741775236682372,1.77777777777778,2.88471367665756,1.30564785952805,2,2,1,1
Allen Bloodclaw,9,10,15,1.66666666666667,1.79034899418967,0.741775236682372,2.77777777777778,2.88471367665756,1.30564785952805,2,2,1,1
Allen Bloodclaw,20,15,16,0.8,1.79034899418967,0.741775236682372,1.55,2.88471367665756,1.30564785952805,1,1,1,1
Allen Bloodclaw,48,21,51,1.0625,1.79034899418967,0.741775236682372,1.5,2.88471367665756,1.30564785952805,2,1,1,1
Allen Bloodclaw,39,7,7,0.179487179487179,1.79034899418967,0.741775236682372,0.358974358974359,2.88471367665756,1.30564785952805,1,1,1,1
Allen Bloodclaw,46,21,123,2.67391304347826,1.79034899418967,0.741775236682372,3.1304347826087,2.88471367665756,1.30564785952805,4,3,1,1
Allen Bloodclaw,37,26,86,2.32432432432432,1.79034899418967,0.741775236682372,3.02702702702703,2.88471367665756,1.30564785952805,3,3,1,1
Allen Bloodclaw,56,6,67,1.19642857142857,1.79034899418967,0.741775236682372,1.30357142857143,2.88471367665756,1.30564785952805,2,1,1,1
Allen Bloodclaw,37,5,50,1.35135135135135,1.79034899418967,0.741775236682372,1.48648648648649,2.88471367665756,1.30564785952805,2,1,1,1
Allen Bloodclaw,31,26,63,2.03225806451613,1.79034899418967,0.741775236682372,2.87096774193548,2.88471367665756,1.30564785952805,3,2,1,1
Allen Bloodclaw,49,62,92,1.87755102040816,1.79034899418967,0.741775236682372,3.14285714285714,2.88471367665756,1.30564785952805,3,3,1,0
Allen Bloodclaw,25,30,39,1.56,1.79034899418967,0.741775236682372,2.76,2.88471367665756,1.30564785952805,2,2,1,1
Allen Bloodclaw,35,13,50,1.42857142857143,1.79034899418967,0.741775236682372,1.8,2.88471367665756,1.30564785952805,2,2,1,1
Allen Bloodclaw,15,3,36,2.4,1.79034899418967,0.741775236682372,2.6,2.88471367665756,1.30564785952805,3,2,1,1
Allen Bloodclaw,80,3,125,1.5625,1.79034899418967,0.741775236682372,1.6,2.88471367665756,1.30564785952805,2,2,1,1
Allen Bloodclaw,5,7,12,2.4,1.79034899418967,0.741775236682372,3.8,2.88471367665756,1.30564785952805,3,3,2,0
Allen Bloodclaw,20,19,46,2.3,1.79034899418967,0.741775236682372,3.25,2.88471367665756,1.30564785952805,3,3,2,0
Allen Bloodclaw,29,32,56,1.93103448275862,1.79034899418967,0.741775236682372,3.03448275862069,2.88471367665756,1.30564785952805,3,3,2,0
Allen Bloodclaw,19,15,45,2.36842105263158,1.79034899418967,0.741775236682372,3.15789473684211,2.88471367665756,1.30564785952805,3,3,2,0
Allen Bloodclaw,22,80,43,1.95454545454545,1.79034899418967,0.741775236682372,5.59090909090909,2.88471367665756,1.30564785952805,3,4,2,0
Allen Bloodclaw,8,22,13,1.625,1.79034899418967,0.741775236682372,4.375,2.88471367665756,1.30564785952805,2,4,2,0
Allen Bloodclaw,44,20,101,2.29545454545455,1.79034899418967,0.741775236682372,2.75,2.88471367665756,1.30564785952805,3,2,2,0
Allen Bloodclaw,29,19,95,3.27586206896552,1.79034899418967,0.741775236682372,3.93103448275862,2.88471367665756,1.30564785952805,4,3,2,0
Allen Bloodclaw,13,38,53,4.07692307692308,1.79034899418967,0.741775236682372,7,2.88471367665756,1.30564785952805,4,4,2,0
Allen Bloodclaw,41,41,40,0.975609756097561,1.79034899418967,0.741775236682372,1.97560975609756,2.88471367665756,1.30564785952805,1,2,2,0
Allen Bloodclaw,24,82,26,1.08333333333333,1.79034899418967,0.741775236682372,4.5,2.88471367665756,1.30564785952805,2,4,2,0
Allen Bloodclaw,18,16,48,2.66666666666667,1.79034899418967,0.741775236682372,3.55555555555556,2.88471367665756,1.30564785952805,4,3,2,0
Allen Bloodclaw,51,41,85,1.66666666666667,1.79034899418967,0.741775236682372,2.47058823529412,2.88471367665756,1.30564785952805,2,2,2,0
Allen Bloodclaw,23,49,27,1.17391304347826,1.79034899418967,0.741775236682372,3.30434782608696,2.88471367665756,1.30564785952805,2,3,2,0
Allen Bloodclaw,46,8,83,1.80434782608696,1.79034899418967,0.741775236682372,1.97826086956522,2.88471367665756,1.30564785952805,3,2,2,0
Allen Bloodclaw,16,63,18,1.125,1.79034899418967,0.741775236682372,5.0625,2.88471367665756,1.30564785952805,2,4,2,0
Allen Bloodclaw,26,23,32,1.23076923076923,1.79034899418967,0.741775236682372,2.11538461538462,2.88471367665756,1.30564785952805,2,2,2,0
Allen Bloodclaw,45,11,64,1.42222222222222,1.79034899418967,0.741775236682372,1.66666666666667,2.88471367665756,1.30564785952805,2,2,2,0
Amare,9,7,6,0.666666666666667,1.12615622270681,0.29254296915033,1.44444444444444,2.53269082501966,0.574708648156556,1,1,1,0
